chr	start	end	size	firstCoveredBase	lastCoveredBase	meanCoverage	NBasesCovered	DepthSum	coverageFraction
chr1	58508	58694	187	None	None	0.0	0	0	0.0
chr1	58695	58950	256	58695	58950	4.09375	256	1048	1.0
chr1	58951	58988	38	None	None	0.0	0	0	0.0
chr1	58989	59063	75	58989	59063	1.0	75	75	1.0
chr1	59064	59068	5	None	None	0.0	0	0	0.0
chr1	59069	59309	241	59069	59309	3.029045643153527	241	730	1.0
chr1	59310	59350	41	None	None	0.0	0	0	0.0
chr1	59351	59541	191	59351	59541	3.1518324607329844	191	602	1.0
chr1	59542	59546	5	None	None	0.0	0	0	0.0
chr1	59547	59649	103	59547	59649	1.4563106796116505	103	150	1.0
chr1	59650	60056	407	None	None	0.0	0	0	0.0
chr1	60057	60440	384	60057	60440	1.9635416666666667	384	754	1.0
chr1	60441	60588	148	None	None	0.0	0	0	0.0
chr1	60589	61063	475	60589	61063	2.8589473684210525	475	1358	1.0
chr1	61064	61115	52	None	None	0.0	0	0	0.0
chr1	61116	61320	205	61116	61320	1.473170731707317	205	302	1.0
chr1	61321	61338	18	None	None	0.0	0	0	0.0
chr1	61339	61408	70	61339	61408	1.9857142857142858	70	139	1.0
chr1	61409	61447	39	None	None	0.0	0	0	0.0
chr1	61448	61598	151	61448	61598	1.0	151	151	1.0
chr1	61599	61717	119	None	None	0.0	0	0	0.0
chr1	61718	61824	107	61718	61824	1.4018691588785046	107	150	1.0
chr1	61825	61842	18	None	None	0.0	0	0	0.0
chr1	61843	62733	891	61843	62733	2.8911335578002246	891	2576	1.0
chr1	62734	62767	34	None	None	0.0	0	0	0.0
chr1	62768	63038	271	62768	63038	2.4981549815498156	271	677	1.0
chr1	63039	63270	232	None	None	0.0	0	0	0.0
chr1	63271	63720	450	63271	63720	2.1777777777777776	450	980	1.0
chr1	63721	64356	636	None	None	0.0	0	0	0.0
chr1	64357	64507	151	64357	64507	1.0	151	151	1.0
chr1	64508	64539	32	None	None	0.0	0	0	0.0
chr1	64540	65006	467	64540	65006	5.012847965738758	467	2341	1.0
chr1	65007	65069	63	None	None	0.0	0	0	0.0
chr1	65070	65220	151	65070	65220	1.4966887417218544	151	226	1.0
chr1	65221	65385	165	None	None	0.0	0	0	0.0
chr1	65386	65536	151	65386	65536	1.0	151	151	1.0
chr1	65537	65893	357	None	None	0.0	0	0	0.0
chr1	65894	65968	75	65894	65968	1.0	75	75	1.0
chr1	65969	65980	12	None	None	0.0	0	0	0.0
chr1	65981	66055	75	65981	66055	1.0	75	75	1.0
chr1	66056	66463	408	None	None	0.0	0	0	0.0
chr1	66464	66493	30	66464	66493	1.0	30	30	1.0
chr1	66494	66615	122	None	None	0.0	0	0	0.0
chr1	66616	66856	241	66616	66856	4.755186721991701	241	1146	1.0
chr1	66857	66957	101	None	None	0.0	0	0	0.0
chr1	66958	67060	103	66958	67060	1.4563106796116505	103	150	1.0
chr1	67061	67102	42	None	None	0.0	0	0	0.0
chr1	67103	67808	706	67103	67808	4.644475920679887	706	3279	1.0
chr1	67809	68188	380	None	None	0.0	0	0	0.0
chr1	68189	68372	184	68189	68372	1.2282608695652173	184	226	1.0
chr1	68373	68385	13	None	None	0.0	0	0	0.0
chr1	68386	68460	75	68386	68460	1.0	75	75	1.0
chr1	68461	69322	862	None	None	0.0	0	0	0.0
chr1	69323	69472	150	69323	69472	1.5	150	225	1.0
chr1	69473	69481	9	None	None	0.0	0	0	0.0
chr1	69482	69691	210	69482	69691	1.7666666666666666	210	371	1.0
chr1	69692	69916	225	None	None	0.0	0	0	0.0
chr1	69917	70339	423	69917	70339	2.309692671394799	423	977	1.0
chr1	70340	70402	63	None	None	0.0	0	0	0.0
chr1	70403	70477	75	70403	70477	1.0	75	75	1.0
chr1	70478	70490	13	None	None	0.0	0	0	0.0
chr1	70491	70829	339	70491	70829	10.501474926253687	339	3560	1.0
chr1	70830	71822	993	None	None	0.0	0	0	0.0
chr1	71823	71897	75	71823	71897	1.0	75	75	1.0
chr1	71898	71956	59	None	None	0.0	0	0	0.0
chr1	71957	72379	423	71957	72379	5.047281323877068	423	2135	1.0
chr1	72380	72535	156	None	None	0.0	0	0	0.0
chr1	72536	72610	75	72536	72610	1.0	75	75	1.0
chr1	72611	72658	48	None	None	0.0	0	0	0.0
chr1	72659	72733	75	72659	72733	1.0	75	75	1.0
chr1	72734	72807	74	None	None	0.0	0	0	0.0
chr1	72808	73350	543	72808	73350	8.21915285451197	543	4463	1.0
chr1	73351	73356	6	None	None	0.0	0	0	0.0
chr1	73357	73431	75	73357	73431	1.0	75	75	1.0
chr1	73432	73609	178	None	None	0.0	0	0	0.0
chr1	73610	73977	368	73610	73977	4.570652173913044	368	1682	1.0
chr1	73978	74630	653	None	None	0.0	0	0	0.0
chr1	74631	74705	75	74631	74705	1.0	75	75	1.0
chr1	74706	74721	16	None	None	0.0	0	0	0.0
chr1	74722	75235	514	74722	75235	7.556420233463035	514	3884	1.0
chr1	75236	75668	433	None	None	0.0	0	0	0.0
chr1	75669	76370	702	75669	76370	5.887464387464387	702	4133	1.0
chr1	76371	76769	399	None	None	0.0	0	0	0.0
chr1	76770	77244	475	76770	77244	4.4526315789473685	475	2115	1.0
chr1	77245	77575	331	None	None	0.0	0	0	0.0
chr1	77576	78213	638	77576	78213	4.087774294670846	638	2608	1.0
chr1	78214	79081	868	None	None	0.0	0	0	0.0
chr1	79082	79277	196	79082	79277	1.530612244897959	196	300	1.0
chr1	79278	79464	187	None	None	0.0	0	0	0.0
chr1	79465	79697	233	79465	79697	1.8412017167381973	233	429	1.0
chr1	79698	79699	2	None	None	0.0	0	0	0.0
chr1	79700	79841	142	79700	79841	1.9647887323943662	142	279	1.0
chr1	79842	80308	467	None	None	0.0	0	0	0.0
chr1	80309	80565	257	80309	80565	3.5214007782101167	257	905	1.0
chr1	80566	80904	339	None	None	0.0	0	0	0.0
chr1	80905	81131	227	80905	81131	1.3083700440528634	227	297	1.0
chr1	81132	81592	461	None	None	0.0	0	0	0.0
chr1	81593	81667	75	81593	81667	1.0	75	75	1.0
chr1	81668	81671	4	None	None	0.0	0	0	0.0
chr1	81672	81746	75	81672	81746	1.0	75	75	1.0
chr1	81747	82022	276	None	None	0.0	0	0	0.0
chr1	82023	82133	111	82023	82133	2.5945945945945947	111	288	1.0
chr1	82134	82135	2	None	None	0.0	0	0	0.0
chr1	82136	82341	206	82136	82341	2.4271844660194173	206	500	1.0
chr1	82342	82726	385	None	None	0.0	0	0	0.0
chr1	82727	82935	209	82727	82935	1.985645933014354	209	415	1.0
chr1	82936	83729	794	None	None	0.0	0	0	0.0
chr1	83730	83867	138	83730	83867	2.260869565217391	138	312	1.0
chr1	83868	84084	217	None	None	0.0	0	0	0.0
chr1	84085	84255	171	84085	84255	2.754385964912281	171	471	1.0
chr1	84256	84290	35	None	None	0.0	0	0	0.0
chr1	84291	84398	108	84291	84398	1.9907407407407407	108	215	1.0
chr1	84399	84894	496	None	None	0.0	0	0	0.0
chr1	84895	84913	19	84895	84913	1.0	19	19	1.0
chr1	84914	85163	250	None	None	0.0	0	0	0.0
chr1	85164	85357	194	85164	85357	1.556701030927835	194	302	1.0
chr1	85358	85422	65	None	None	0.0	0	0	0.0
chr1	85423	85750	328	85423	85750	1.350609756097561	328	443	1.0
chr1	85751	85751	1	None	None	0.0	0	0	0.0
chr1	85752	85760	9	85752	85760	1.0	9	9	1.0
chr1	85761	85983	223	None	None	0.0	0	0	0.0
chr1	85984	86318	335	85984	86318	2.698507462686567	335	904	1.0
chr1	86319	86814	496	None	None	0.0	0	0	0.0
chr1	86815	87356	542	86815	87356	2.867158671586716	542	1554	1.0
chr1	87357	87584	228	None	None	0.0	0	0	0.0
chr1	87585	87804	220	87585	87804	2.7363636363636363	220	602	1.0
chr1	87805	87886	82	None	None	0.0	0	0	0.0
chr1	87887	88088	202	87887	88088	2.5643564356435644	202	518	1.0
chr1	88089	88194	106	None	None	0.0	0	0	0.0
chr1	88195	88357	163	88195	88357	1.7607361963190185	163	287	1.0
chr1	88358	88358	1	None	None	0.0	0	0	0.0
chr1	88359	88555	197	88359	88555	2.6142131979695433	197	515	1.0
chr1	88556	88559	4	None	None	0.0	0	0	0.0
chr1	88560	88780	221	88560	88780	1.9592760180995474	221	433	1.0
chr1	88781	88838	58	None	None	0.0	0	0	0.0
chr1	88839	88989	151	88839	88989	1.0	151	151	1.0
chr1	88990	89002	13	None	None	0.0	0	0	0.0
chr1	89003	89153	151	89003	89153	1.0	151	151	1.0
chr1	89154	89295	142	None	None	0.0	0	0	0.0
chr1	89296	89431	136	89296	89431	1.9852941176470589	136	270	1.0
chr1	89432	89791	360	None	None	0.0	0	0	0.0
chr1	89792	89867	76	89792	89867	1.9736842105263157	76	150	1.0
chr1	89868	89887	20	None	None	0.0	0	0	0.0
chr1	89888	89956	69	89888	89956	1.9710144927536233	69	136	1.0
chr1	89957	90184	228	None	None	0.0	0	0	0.0
chr1	90185	90375	191	90185	90375	2.7329842931937174	191	522	1.0
chr1	90376	90952	577	None	None	0.0	0	0	0.0
chr1	90953	91117	165	90953	91117	1.8242424242424242	165	301	1.0
chr1	91118	91131	14	None	None	0.0	0	0	0.0
chr1	91132	91200	69	91132	91200	2.0	69	138	1.0
chr1	91201	91201	1	None	None	0.0	0	0	0.0
chr1	91202	91276	75	91202	91276	2.0	75	150	1.0
chr1	91277	91317	41	None	None	0.0	0	0	0.0
chr1	91318	91382	65	91318	91382	1.0	65	65	1.0
chr1	91383	91401	19	None	None	0.0	0	0	0.0
chr1	91402	91642	241	91402	91642	1.4896265560165975	241	359	1.0
chr1	91643	92615	973	None	None	0.0	0	0	0.0
chr1	92616	93121	506	92616	93121	5.191699604743083	506	2627	1.0
chr1	93122	93175	54	None	None	0.0	0	0	0.0
chr1	93176	93417	242	93176	93417	3.3636363636363638	242	814	1.0
chr1	93418	93885	468	None	None	0.0	0	0	0.0
chr1	93886	93960	75	93886	93960	1.0	75	75	1.0
chr1	93961	93974	14	None	None	0.0	0	0	0.0
chr1	93975	94072	98	93975	94072	1.530612244897959	98	150	1.0
chr1	94073	94084	12	None	None	0.0	0	0	0.0
chr1	94085	94159	75	94085	94159	1.0	75	75	1.0
chr1	94160	94704	545	None	None	0.0	0	0	0.0
chr1	94705	95206	502	94705	95206	3.4820717131474104	502	1748	1.0
chr1	95207	96098	892	None	None	0.0	0	0	0.0
chr1	96099	96401	303	96099	96401	1.9933993399339933	303	604	1.0
chr1	96402	96574	173	None	None	0.0	0	0	0.0
chr1	96575	96649	75	96575	96649	1.0	75	75	1.0
chr1	96650	96666	17	None	None	0.0	0	0	0.0
chr1	96667	96741	75	96667	96741	1.0	75	75	1.0
chr1	96742	97455	714	None	None	0.0	0	0	0.0
chr1	97456	97648	193	97456	97648	1.5647668393782384	193	302	1.0
chr1	97649	98222	574	None	None	0.0	0	0	0.0
chr1	98223	98448	226	98223	98448	2.672566371681416	226	604	1.0
chr1	98449	99010	562	None	None	0.0	0	0	0.0
chr1	99011	99069	59	99011	99069	1.0	59	59	1.0
chr1	99070	99070	1	None	None	0.0	0	0	0.0
chr1	99071	99076	6	99071	99076	1.0	6	6	1.0
chr1	99077	99082	6	None	None	0.0	0	0	0.0
chr1	99083	99235	153	99083	99235	1.2026143790849673	153	184	1.0
chr1	99236	100000	765	None	None	0.0	0	0	0.0
