chr	start	end	size	firstCoveredBase	lastCoveredBase	meanCoverage	NBasesCovered	DepthSum	coverageFraction
chr1	67766	67927	162	67766	67927	1.7098765432098766	162	277	1.0
chr1	67928	68058	131	None	None	0.0	0	0	0.0
chr1	68059	68606	548	68059	68606	6.4416058394160585	548	3530	1.0
chr1	68607	68698	92	None	None	0.0	0	0	0.0
chr1	68699	68849	151	68699	68849	1.0	151	151	1.0
chr1	68850	69105	256	None	None	0.0	0	0	0.0
chr1	69106	71311	2206	69106	71311	10.364460562103355	2206	22864	1.0
chr1	71312	71591	280	None	None	0.0	0	0	0.0
chr1	71592	75324	3733	71592	75324	43.18537369407983	3733	161211	1.0
chr1	75325	75428	104	None	None	0.0	0	0	0.0
chr1	75429	75579	151	75429	75579	1.0	151	151	1.0
chr1	75580	75717	138	None	None	0.0	0	0	0.0
chr1	75718	75897	180	75718	75897	2.4555555555555557	180	442	1.0
chr1	75898	75993	96	None	None	0.0	0	0	0.0
chr1	75994	76183	190	75994	76183	2.3263157894736843	190	442	1.0
chr1	76184	76185	2	None	None	0.0	0	0	0.0
chr1	76186	76194	9	76186	76194	1.0	9	9	1.0
chr1	76195	76216	22	None	None	0.0	0	0	0.0
chr1	76217	76347	131	76217	76347	1.0	131	131	1.0
chr1	76348	76362	15	None	None	0.0	0	0	0.0
chr1	76363	77049	687	76363	77049	7.7336244541484715	687	5313	1.0
chr1	77050	77149	100	None	None	0.0	0	0	0.0
chr1	77150	77393	244	77150	77393	1.2377049180327868	244	302	1.0
chr1	77394	77802	409	None	None	0.0	0	0	0.0
chr1	77803	78259	457	77803	78259	1.3216630196936543	457	604	1.0
chr1	78260	79448	1189	None	None	0.0	0	0	0.0
chr1	79449	79610	162	79449	79610	1.8641975308641976	162	302	1.0
chr1	79611	80405	795	None	None	0.0	0	0	0.0
chr1	80406	80556	151	80406	80556	1.0	151	151	1.0
chr1	80557	81359	803	None	None	0.0	0	0	0.0
chr1	81360	81570	211	81360	81570	1.4312796208530805	211	302	1.0
chr1	81571	81602	32	None	None	0.0	0	0	0.0
chr1	81603	81800	198	81603	81800	1.5252525252525253	198	302	1.0
chr1	81801	82510	710	None	None	0.0	0	0	0.0
chr1	82511	82720	210	82511	82720	2.876190476190476	210	604	1.0
chr1	82721	83130	410	None	None	0.0	0	0	0.0
chr1	83131	83281	151	83131	83281	1.0	151	151	1.0
chr1	83282	83325	44	None	None	0.0	0	0	0.0
chr1	83326	83509	184	83326	83509	1.641304347826087	184	302	1.0
chr1	83510	83517	8	None	None	0.0	0	0	0.0
chr1	83518	83668	151	83518	83668	1.0	151	151	1.0
chr1	83669	83922	254	None	None	0.0	0	0	0.0
chr1	83923	83961	39	83923	83961	1.0	39	39	1.0
chr1	83962	83964	3	None	None	0.0	0	0	0.0
chr1	83965	84076	112	83965	84076	1.0	112	112	1.0
chr1	84077	84081	5	None	None	0.0	0	0	0.0
chr1	84082	84413	332	84082	84413	2.7289156626506026	332	906	1.0
chr1	84414	84445	32	None	None	0.0	0	0	0.0
chr1	84446	84726	281	84446	84726	1.6085409252669038	281	452	1.0
chr1	84727	84744	18	None	None	0.0	0	0	0.0
chr1	84745	84955	211	84745	84955	4.293838862559242	211	906	1.0
chr1	84956	85013	58	None	None	0.0	0	0	0.0
chr1	85014	90377	5364	85014	90377	4.737136465324385	5364	25410	1.0
chr1	90378	90725	348	None	None	0.0	0	0	0.0
chr1	90726	91195	470	90726	91195	3.65531914893617	470	1718	1.0
chr1	91196	91210	15	None	None	0.0	0	0	0.0
chr1	91211	91908	698	91211	91908	2.843839541547278	698	1985	1.0
chr1	91909	91909	1	None	None	0.0	0	0	0.0
chr1	91910	92032	123	91910	92032	1.0	123	123	1.0
chr1	92033	92426	394	None	None	0.0	0	0	0.0
chr1	92427	92577	151	92427	92577	1.0	151	151	1.0
chr1	92578	92642	65	None	None	0.0	0	0	0.0
chr1	92643	92643	1	92643	92643	1.0	1	1	1.0
chr1	92644	92646	3	None	None	0.0	0	0	0.0
chr1	92647	92921	275	92647	92921	2.5345454545454547	275	697	1.0
chr1	92922	92925	4	None	None	0.0	0	0	0.0
chr1	92926	93119	194	92926	93119	1.5515463917525774	194	301	1.0
chr1	93120	93323	204	None	None	0.0	0	0	0.0
chr1	93324	93618	295	93324	93618	1.0203389830508474	295	301	1.0
chr1	93619	93832	214	None	None	0.0	0	0	0.0
chr1	93833	95352	1520	93833	95352	7.076315789473684	1520	10756	1.0
chr1	95353	95515	163	None	None	0.0	0	0	0.0
chr1	95516	95737	222	95516	95737	1.3603603603603605	222	302	1.0
chr1	95738	95778	41	None	None	0.0	0	0	0.0
chr1	95779	97029	1251	95779	97029	15.25099920063949	1251	19079	1.0
chr1	97030	97162	133	None	None	0.0	0	0	0.0
chr1	97163	99358	2196	97163	99358	9.913934426229508	2196	21771	1.0
chr1	99359	99391	33	None	None	0.0	0	0	0.0
chr1	99392	99753	362	99392	99753	2.773480662983425	362	1004	1.0
chr1	99754	99754	1	None	None	0.0	0	0	0.0
chr1	99755	99760	6	99755	99760	1.0	6	6	1.0
chr1	99761	100000	240	None	None	0.0	0	0	0.0
